Date,Job title,Company,,,,,,
9/12/2022,Data Engineer,Codalyze Technologies,,,,,,
9/30/2022,Data Engineer DW/BI (R1882),Avalara,,,,,,
9/29/2022,Markets APAC Macro Dev,Barclays,,,,,,
7/28/2022,Data Engineer – Smart Building Analytics (6 - 9 years),Siemens Technology India,,,,,,
8/30/2022,Data Engineer,Oneture Technologies,,,,,,
9/29/2022,Lead SQL - Mumbai / Kolkata - MNC - WFH,PESHR,,,,,,
10/3/2022,Systems Engr I,Honeywell,,,,,,
6/16/2022,TransOrg Analytics - Data Engineer,TransOrg Analytics,,,,,,
9/20/2022,SQL Developer,Phoenix Group,,,,,,
8/28/2022,Data Engineer,Principal Global Services,,,,,,
9/2/2022,"Systems Engineer, Applications",Ensono,,,,,,
7/25/2022,Data Engineer,Vitasta Consulting Pvt Ltd,,,,,,
9/7/2022,Data Engineer,TCG Digital,,,,,,
9/3/2022,"Financial Advisory International - Data Analytics - AM - SQL, VBA",Deloitte Asia Pacific,,,,,,
3/4/2022,Data Engineer-GCP,SADA,,,,,,
9/7/2022,Aurochs Software - Senior Data Analyst - Incentive Compensation,Aurochs Solutions,,,,,,
4/23/2022,Data Engineer,HuntingCube Recruitment Solutions,,,,,,
8/30/2022,"DATA ENGINEER - Dubai, UAE",Cobblestone Energy,,,,,,
9/6/2022,SQL Developer - Mumbai / Kolkata - MNC - WFH,PESHR,,,,,,
9/8/2022,Data Engineer,Coupa Software,,,,,,
8/30/2022,Tableau Developer,Barclays,,,,,,
9/28/2022,System Engineer,Wipro,,,,,,
9/21/2022,Systems Engineer,YouGov,,,,,,
9/1/2022,"Analyst, Fulfillment (R-12644)",Dun & Bradstreet,,,,,,
5/4/2022,Data Engineer,Expleo Group,,,,,,
8/21/2022,PLSQL Developer,CSB Bank Limited,,,,,,
8/29/2022,CIEL/SEL/22755: BI Analyst,CIEL HR,,,,,,
7/24/2022,Data Engineer,Alliance Recruitment Agency,,,,,,
10/3/2022,Technical Author - Ubuntu and Canonical products,Canonical,,,,,,
9/22/2022,Systems Engr I,Honeywell,,,,,,
9/29/2022,CIEL/SEL/21245: Data Engineer,CIEL HR,,,,,,
9/29/2022,PLSQL Developers,SKILLETY,,,,,,
8/16/2022,Data Engineer,Array Management Consultants,,,,,,
8/20/2022,PayMate India - SQL Developer - SSRS/SSIS,PayMate,,,,,,
8/29/2022,Data Engineer - Python/Pandas,Intern Theory,,,,,,
9/29/2022,Data Engineer ( 5+ years ) || Mumbai,Michael Page,,,,,,
7/22/2022,Associate System Engineer,Community Brands,,,,,,
8/29/2022,SQL AND ETL Developer,Barclays,,,,,,
9/14/2022,Data Operations Maintenance Data Senior Analyst,bp,,,,,,
9/15/2022,Systems Engineer,YouGov,,,,,,
8/25/2022,Data Engineer - Python,SKILLETY,,,,,,
9/2/2022,Data Engineer (Python),Scry Analytics,,,,,,
9/28/2022,CIEL/SEL/22133: Analyst /Sr Analyst - Consumer Insights,CIEL HR,,,,,,
5/20/2022,Service Desk Analyst,Company 3,,,,,,
9/2/2022,"Developer,Database",Netxcell Limited,,,,,,
9/3/2022,Data Developer,DIATOZ: Digital A to Z Solutions,,,,,,
9/28/2022,Data Operations Maintenance Data Senior Analyst,bp,,,,,,
3/4/2022,BI Developer,Roche,,,,,,
9/7/2022,Junior Systems Engineer - Linux,Trace,,,,,,
7/31/2022,Data Engineer - GCP,SYMPHONI HR,,,,,,
8/28/2022,Web Scraper - Python/SQL,Sampoorna Consultants,,,,,,
9/25/2022,CIEL/SEL/22131: Analyst / Sr Analyst - Consumer Insights,CIEL HR,,,,,,
9/15/2022,Data Engineer - 4016,ION,,,,,,
8/11/2022,Data Engineer - GCP,SYMPHONI HR,,,,,,
7/31/2022,ODI Developer,SKILL ELIXIREDGE,,,,,,
9/29/2022,Data Engineer,Easebuzz,,,,,,
8/9/2022,"Developer,Database",Netxcell Limited,,,,,,
9/29/2022,Systems Engineer,Infosys BPM,,,,,,
8/26/2022,SQL Developer,NR Consulting,,,,,,
4/28/2022,Data Engineer,Astegic,,,,,,
4/30/2022,"Developer,Database",Netxcell Limited,,,,,,
9/7/2022,PowerBI Developer,Emerson,,,,,,
9/22/2022,SQL Developer,IDESLABS PRIVATE LIMITED,,,,,,
9/14/2022,Data Engineer (Python),Just Career Management Private Limited,,,,,,
9/23/2022,Associate Indexes Client experience Analyst,Morningstar,,,,,,
3/4/2022,TransOrg Analytics - Data Engineer - Python,TransOrg Analytics,,,,,,
9/27/2022,CIEL/SEL/21525: Data Scientist,CIEL HR,,,,,,
9/9/2022,Database Developer (MS SQL),Sportz Interactive,,,,,,
9/23/2022,Jr. Node.js,Dhi Technologies Private Limited,,,,,,
8/7/2022,Systems Engr II,Honeywell,,,,,,
9/3/2022,Data Modeller | 6 to 9 years | Mumbai & Pune,Capgemini,,,,,,
9/16/2022,Database Engineer,Cerence Inc.,,,,,,
9/25/2022,"Specialist_BIS, Mumbai - India",Integreon,,,,,,
7/31/2022,Developer,Barclays,,,,,,
6/24/2022,Data Engineer - GCP,SYMPHONI HR,,,,,,
10/3/2022,Associate Indexes Client experience Analyst,Morningstar,,,,,,
7/13/2022,Data Engineer - GCP,SYMPHONI HR,,,,,,
9/4/2022,Aayushi - Opening for Data engineer,MAC Consultant,,,,,,
9/30/2022,Data Engineer,IDESLABS PRIVATE LIMITED,,,,,,
9/20/2022,Business System Analyst,Qween Network LLP,,,,,,
9/22/2022,"Oracle Forms - Mumbai, Pune location",CIEL HR,,,,,,
8/7/2022,SYSTEM ENGINEER,HELLA,,,,,,
8/18/2022,Consultant - Data Engineer,Principal Global Services,,,,,,
8/30/2022,AWS INFRA,LTI - Larsen & Toubro Infotech,,,,,,
9/2/2022,CIEL/SEL/21241: BI Analyst,CIEL HR,,,,,,
9/27/2022,ETL - DBT,Zensar Technologies,,,,,,
10/3/2022,Data Engineer,Alliance Recruitment Agency,,,,,,
9/16/2022,Engineer II - Database Administration,Accelya Group,,,,,,
10/3/2022,Tableau Developer,Cyient,,,,,,
9/9/2022,Cloud Support Engineer,MicroStrategy,,,,,,
9/2/2022,GCP Data Engineer,ESSENWARE PRIVATE LIMITED,,,,,,
9/29/2022,Sr. Supply Chain Analytics Analyst,Ecolab,,,,,,
8/29/2022,Developer,Barclays,,,,,,
7/27/2022,Data Science - Python Developer,Cyient,,,,,,
8/28/2022,Staff Business Data Engineer,Ivanti,,,,,,
10/3/2022,Data Engineer - Azure/SQL/ETL,Aligned Automation,,,,,,
9/4/2022,Senior Business Systems Analyst/Business Data Analyst - Retail Banking,Pioneer Financial & Management Services Ltd.,,,,,,
9/26/2022,Sr. Analyst - NAF Data Foundation,General Mills India,,,,,,
9/12/2022,Sr. SQL/Data Warehouse Developer,AllianceBernstein,,,,,,
9/27/2022,Systems Engineer - Mainframe(1-2 years) - PUNE,Infosys,,,,,,
6/10/2022,NVS Analytics - Senior Analyst,NVS Analytics,,,,,,
9/7/2022,"Oracle SQL, PL/SQL, Oracle Performance tuning developer",BNP Paribas,,,,,,
9/5/2022,Data Engineer,Wipfli India,,,,,,
9/27/2022,Senior Analyst - Server Support,Capita,,,,,,
9/16/2022,ETL - DBT,Zensar Technologies,,,,,,
7/31/2022,SQL & Power BI Developer,Arcadis,,,,,,
9/21/2022,TLM Developers,Cognizant,,,,,,
9/20/2022,Systems Engineer II,Honeywell,,,,,,
9/20/2022,Data Engineer,"QUEST Engineering, LLC",,,,,,
7/30/2022,Developer (Informatica),Stratacent,,,,,,
9/20/2022,CIEL/SEL/23964: SQL Developer,CIEL HR,,,,,,
